"year","date","drought","avgSM","seSM"
"2020",2020-10-20,50,12.2777777777778,1.50515574847273
"2020",2020-10-20,75,11.0888888888889,1.80627336159013
"2020",2020-10-20,99,8.42222222222222,1.16294379554858
"2021",2021-04-23,0,26.4666666666667,1.88963460866072
"2021",2021-04-23,25,26.3444444444444,2.56726784686189
"2021",2021-04-23,50,29.1888888888889,2.13635492034423
"2021",2021-04-23,75,26.4555555555556,2.6955782265237
"2021",2021-04-23,99,28.0777777777778,2.79666357656652
"2021",2021-05-06,0,17.05,1.79580575248371
"2021",2021-05-06,25,15.0666666666667,2.15
"2021",2021-05-06,50,22.9555555555556,2.44955274325239
"2021",2021-05-06,75,20.7888888888889,2.61997903111013
"2021",2021-05-06,99,20.9222222222222,3.49144898994425
"2021",2021-05-19,0,23.7555555555556,2.49998983294955
"2021",2021-05-19,25,20.5555555555556,3.54659896203826
"2021",2021-05-19,50,22.3,2.62207509003418
"2021",2021-05-19,75,20.2,3.07697542690509
"2021",2021-05-19,99,24.4888888888889,2.99394966021495
"2021",2021-06-02,0,13.7055555555556,2.19890751576558
"2021",2021-06-02,25,12.5777777777778,2.49386902544007
"2021",2021-06-02,50,15.7444444444444,2.95423947306198
"2021",2021-06-02,75,17.0333333333333,3.59096087419509
"2021",2021-06-02,99,17.4,3.74673932313893
"2021",2021-06-16,0,8.41111111111111,1.22650171762051
"2021",2021-06-16,25,6.67777777777778,0.999274428130756
"2021",2021-06-16,50,7.13333333333333,1.47205449778344
"2021",2021-06-16,75,7.86666666666667,1.65344757669812
"2021",2021-06-16,99,9.6,1.80608539234568
"2021",2021-06-29,0,21.8777777777778,2.21584542586876
"2021",2021-06-29,25,20.8111111111111,2.78495184700265
"2021",2021-06-29,50,23.4555555555556,3.63944864227442
"2021",2021-06-29,75,22.2777777777778,2.70297047388906
"2021",2021-06-29,99,24.6,3.57798049805256
"2021",2021-07-14,0,8.96944444444444,0.910074298767357
"2021",2021-07-14,25,8.56666666666667,1.11026111278478
"2021",2021-07-14,50,8.90555555555556,1.43621398223232
"2021",2021-07-14,75,8.84444444444444,1.2821607126081
"2021",2021-07-14,99,10.7666666666667,1.53890717527655
"2021",2021-07-27,0,8.69444444444444,1.23263022412494
"2021",2021-07-27,25,8.08888888888889,1.63166959860517
"2021",2021-07-27,50,7.07777777777778,1.23836560946921
"2021",2021-07-27,75,8.22222222222222,1.38601925770029
"2021",2021-07-27,99,9.74444444444445,1.72852788290363
"2021",2021-08-11,0,15.9,1.79350680697528
"2021",2021-08-11,25,12.0555555555556,2.38939271172911
"2021",2021-08-11,50,17.8111111111111,2.73949734057406
"2021",2021-08-11,75,13.4666666666667,2.77098057252903
"2021",2021-08-11,99,15.4666666666667,2.73709091311682
