"site","year","plot","totcov","symbol","aerial_cover","block","paddock","drought","grazing_category","grazing_treatment","livestock_util_2019","livestock_util_2020","livestock_util_2021","rel_brome_cov"
"FK",2018,52,98.5,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,52,98.5,"BRAR",43,"3","3",0,"HHMMM","heavy",70,70,50,43.6548223350254
"FK",2018,53,73.5,"BRTE",0,"3","3",0,"HHMMM","heavy",70,70,50,0
"FK",2018,53,73.5,"BRAR",52,"3","3",0,"HHMMM","heavy",70,70,50,70.7482993197279
"FK",2018,54,83.5,"BRTE",0,"3","3",75,"HHMMM","heavy",70,70,50,0
"FK",2018,54,83.5,"BRAR",37,"3","3",75,"HHMMM","heavy",70,70,50,44.311377245509
"FK",2019,1,81.75,"BRAR",55,"1","1",75,"MMMMM","stable",50,50,50,67.2782874617737
"FK",2019,1,81.75,"BRTE",0,"1","1",75,"MMMMM","stable",50,50,50,0
"FK",2019,2,56.5,"BRAR",35,"1","1",99,"MMMMM","stable",50,50,50,61.9469026548673
"FK",2019,2,56.5,"BRTE",1,"1","1",99,"MMMMM","stable",50,50,50,1.76991150442478
"FK",2019,3,80.75,"BRAR",50,"1","1",0,"MMMMM","stable",50,50,50,61.9195046439629
"FK",2019,3,80.75,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2019,4,63.25,"BRAR",30,"1","1",0,"MMMMM","stable",50,50,50,47.4308300395257
"FK",2019,4,63.25,"BRTE",0,"1","1",0,"MMMMM","stable",50,50,50,0
"FK",2019,5,68.75,"BRAR",25,"1","1",50,"MMMMM","stable",50,50,50,36.3636363636364
"FK",2019,5,68.75,"BRTE",0,"1","1",50,"MMMMM","stable",50,50,50,0
"FK",2019,6,60.5,"BRAR",40,"1","1",25,"MMMMM","stable",50,50,50,66.1157024793389
"FK",2019,6,60.5,"BRTE",2,"1","1",25,"MMMMM","stable",50,50,50,3.30578512396694
"FK",2019,7,89,"BRAR",30,"1","2",0,"HHMMM","heavy",70,70,50,33.7078651685393
"FK",2019,7,89,"BRTE",7,"1","2",0,"HHMMM","heavy",70,70,50,7.86516853932584
"FK",2019,8,85.5,"BRAR",15,"1","2",75,"HHMMM","heavy",70,70,50,17.5438596491228
"FK",2019,8,85.5,"BRTE",40,"1","2",75,"HHMMM","heavy",70,70,50,46.7836257309941
"FK",2019,9,80.75,"BRAR",35,"1","2",0,"HHMMM","heavy",70,70,50,43.343653250774
"FK",2019,9,80.75,"BRTE",8,"1","2",0,"HHMMM","heavy",70,70,50,9.90712074303406
"FK",2019,10,82,"BRAR",20,"1","2",99,"HHMMM","heavy",70,70,50,24.390243902439
"FK",2019,10,82,"BRTE",25,"1","2",99,"HHMMM","heavy",70,70,50,30.4878048780488
"FK",2019,11,70,"BRAR",8,"1","2",50,"HHMMM","heavy",70,70,50,11.4285714285714
"FK",2019,11,70,"BRTE",25,"1","2",50,"HHMMM","heavy",70,70,50,35.7142857142857
"FK",2019,12,64.75,"BRAR",2,"1","2",25,"HHMMM","heavy",70,70,50,3.08880308880309
"FK",2019,12,64.75,"BRTE",28,"1","2",25,"HHMMM","heavy",70,70,50,43.2432432432432
"FK",2019,13,58,"BRAR",20,"1","3",50,"MLLMM","destock",50,30,30,34.4827586206897
"FK",2019,13,58,"BRTE",0,"1","3",50,"MLLMM","destock",50,30,30,0
"FK",2019,14,60.25,"BRAR",12,"1","3",75,"MLLMM","destock",50,30,30,19.9170124481328
"FK",2019,14,60.25,"BRTE",0,"1","3",75,"MLLMM","destock",50,30,30,0
"FK",2019,15,70.5,"BRAR",30,"1","3",0,"MLLMM","destock",50,30,30,42.5531914893617
"FK",2019,15,70.5,"BRTE",0,"1","3",0,"MLLMM","destock",50,30,30,0
"FK",2019,16,61.5,"BRAR",10,"1","3",25,"MLLMM","destock",50,30,30,16.260162601626
"FK",2019,16,61.5,"BRTE",22,"1","3",25,"MLLMM","destock",50,30,30,35.7723577235772
"FK",2019,17,61.5,"BRAR",5,"1","3",0,"MLLMM","destock",50,30,30,8.13008130081301
